Name,Type,Category,Visit_Exhibition,Visit_Place,Opening_Time,Under_18_Teaching,Under_18_NO_teaching,Region,Year,Department,Place,Under_18_Full_Price,Under_18_Reduced_Price,Under_18_Gratis,Visit_Unspecific,Arrangements,Participate_Arrangement,Under_18_Arrangement_Teaching,Under_18_Arrangement_NO_teaching,Over_18_Arrangement,Livestream,Participate_Livestream,Visitors_Exhibition_per_opening_hour
Nationalmuseet,Statslig i henhold til museumsloven,Cultural History Museum,1729101.0,1729101.0,15613.0,0.0,0,Byen København,2018,,,,,,,,,,,,,,110.7475181
Louisiana Museum Of Modern Art,Statsanerkendt i henhold til museumsloven,Art museum,755584.0,755584.0,2995.0,75851.0,16997,Nordsjælland,2018,,,,,,,,,,,,,,252.281803
Den Gamle By Danmarks Købstadsmuseum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,546485.0,546485.0,2519.0,103273.0,40446,Østjylland,2018,,,,,,,,,,,,,,216.9452164
Kongernes Samling,Statsanerkendt i henhold til museumsloven,Cultural History Museum,545146.0,545146.0,4194.0,62059.0,11909,Byen København,2018,,,,,,,,,,,,,,129.9823557
Aros Aarhus Kunstmuseum,Statsanerkendt i henhold til museumsloven,Art museum,508008.0,722109.0,2514.0,68793.0,46148,Østjylland,2018,,,,,,,,,,,,,,202.071599
Ny Carlsberg Glyptotek,Statsanerkendt i henhold til museumsloven,Art museum,448934.0,448934.0,2347.0,19580.0,16067,Byen København,2018,,,,,,,,,,,,,,191.2799318
Arken Museum For Moderne Kunst,Statsanerkendt i henhold til museumsloven,Art museum,414705.0,414705.0,2510.0,56282.0,0,Københavns Omegn,2018,,,,,,,,,,,,,,165.2211155
Moesgård Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,368656.0,393415.0,9089.0,71056.0,22399,Østjylland,2018,,,,,,,,,,,,,,40.56067774
Odense Bys Museer,Statsanerkendt i henhold til museumsloven,Cultural History Museum,328660.0,349283.0,7949.0,67724.0,21646,Fyn,2018,,,,,,,,,,,,,,41.34608127
Statens Museum For Kunst,Statslig i henhold til museumsloven,Art museum,308974.0,308974.0,2083.0,9238.0,29366,Byen København,2018,,,,,,,,,,,,,,148.331253
Designmuseum Danmark,Statsanerkendt i henhold til museumsloven,Art museum,274619.0,279060.0,2644.0,13288.0,6467,Byen København,2018,,,,,,,,,,,,,,103.8649773
Vardemuseerne,Statsanerkendt i henhold til museumsloven,Cultural History Museum,273626.0,273626.0,12002.0,55823.0,0,Sydjylland,2018,,,,,,,,,,,,,,22.79836694
Statens Naturhistoriske Museum,Statslig i henhold til museumsloven,Natural History Museum,269351.0,269351.0,4877.0,67792.0,28922,Byen København,2018,,,,,,,,,,,,,,55.2288292
Ringkøbing-Skjern Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,214723.0,214723.0,9216.0,64603.0,7290,Vestjylland,2018,,,,,,,,,,,,,,23.29893663
Museum Sydøstdanmark,Statsanerkendt i henhold til museumsloven,Cultural History Museum,193198.0,237505.0,9200.0,56804.0,5634,Vest- og Sydsjælland,2018,,,,,,,,,,,,,,20.99978261
Museum Sønderjylland,Statsanerkendt i henhold til museumsloven,Other,191960.0,195250.0,15711.0,24872.0,31015,Sydjylland,2018,,,,,,,,,,,,,,12.21819108
Koldingshus,Statsanerkendt i henhold til museumsloven,Cultural History Museum,172072.0,176990.0,2527.0,16497.0,9973,Sydjylland,2018,,,,,,,,,,,,,,68.09339137
Vikingeskibsmuseet,Statsanerkendt i henhold til museumsloven,Cultural History Museum,169150.0,169150.0,2360.0,33440.0,10032,Østsjælland,2018,,,,,,,,,,,,,,71.67372881
Museum Østjylland Randers,Statsanerkendt i henhold til museumsloven,Cultural History Museum,166531.0,166531.0,4707.0,35786.0,5125,Østjylland,2018,,,,,,,,,,,,,,35.37943488
Skagens Kunstmuseer,Statsanerkendt i henhold til museumsloven,Art museum,158828.0,170000.0,4585.0,14455.0,14184,Nordjylland,2018,,,,,,,,,,,,,,34.64078517
Romu,Statsanerkendt i henhold til museumsloven,Cultural History Museum,152661.0,152661.0,8746.0,30346.0,24419,Vest- og Sydsjælland,2018,,,,,,,,,,,,,,17.45495083
Østfyns Museer,Statsanerkendt i henhold til museumsloven,Other,147112.0,147112.0,6832.0,11513.0,7230,Fyn,2018,,,,,,,,,,,,,,21.53278689
Frederiksbergmuseerne,Statsanerkendt i henhold til museumsloven,Other,141319.0,141613.0,7484.0,8236.0,7898,Byen København,2018,,,,,,,,,,,,,,18.88281668
Nordjyllands Historiske Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,137942.0,141322.0,18329.0,10666.0,8239,Nordjylland,2018,,,,,,,,,,,,,,7.525887937
Vejlemuseerne,Statsanerkendt i henhold til museumsloven,Cultural History Museum,119027.0,123850.0,20600.0,25566.0,5563,Sydjylland,2018,,,,,,,,,,,,,,5.778009709
Esbjerg Kunstmuseum,Statsanerkendt i henhold til museumsloven,Art museum,117897.0,117897.0,1896.0,8290.0,6408,Sydjylland,2018,,,,,,,,,,,,,,62.18196203
Arbejdermuseet,Statsanerkendt i henhold til museumsloven,Cultural History Museum,111367.0,111367.0,2780.0,20106.0,23806,Byen København,2018,,,,,,,,,,,,,,40.06007194
De Kulturhistoriske Museer I Holstebro Kommune,Statsanerkendt i henhold til museumsloven,Cultural History Museum,106333.0,108400.0,3944.0,28772.0,4623,Vestjylland,2018,,,,,,,,,,,,,,26.9606998
Nordjyllands Kystmuseum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,105652.0,149279.0,5122.0,87043.0,7620,Nordjylland,2018,,,,,,,,,,,,,,20.62709879
Kunsten Museum Of Modern Art Aalborg,Statsanerkendt i henhold til museumsloven,Art museum,96882.0,103797.0,2406.0,11929.0,10400,Nordjylland,2018,,,,,,,,,,,,,,40.26683292
Gammel Estrup Herregårdsmuseet,Statsanerkendt i henhold til museumsloven,Cultural History Museum,96273.0,101273.0,2035.0,17647.0,8692,Østjylland,2018,,,,,,,,,,,,,,47.30859951
Fiskeri- Og Søfartsmuseet / Saltvandsakvariet,Statsanerkendt i henhold til museumsloven,Cultural History Museum,94888.0,94888.0,2507.0,32247.0,10106,Sydjylland,2018,,,,,,,,,,,,,,37.84922218
Det Grønne Museum,Statslig i henhold til museumsloven,Cultural History Museum,91066.0,91066.0,1737.0,16771.0,7852,Østjylland,2018,,,,,,,,,,,,,,52.42717329
