Age,Sex,Category,2018,2019,2020,2021,2022,2023
16-24,Men,Paintings,19.0,24.0,23.0,22.0,25.0,25.0
16-24,Men,Sculptures,11.0,15.0,13.0,15.0,14.0,17.0
16-24,Men,Craft work,6.0,10.0,7.0,11.0,7.0,9.0
16-24,Men,Design,10.0,17.0,15.0,18.0,15.0,16.0
16-24,Men,Photography,15.0,21.0,22.0,21.0,17.0,21.0
16-24,Men,Installation art,5.0,8.0,7.0,7.0,6.0,7.0
16-24,Men,Video art,8.0,13.0,15.0,16.0,13.0,14.0
16-24,Men,Performance,3.0,7.0,6.0,5.0,5.0,6.0
16-24,Men,Other,4.0,7.0,5.0,7.0,7.0,6.0
16-24,Men,None,64.0,56.0,59.0,59.0,56.0,54.0
16-24,Women,Paintings,35.0,33.0,36.0,39.0,37.0,35.0
16-24,Women,Sculptures,23.0,20.0,22.0,23.0,22.0,23.0
16-24,Women,Craft work,14.0,17.0,19.0,17.0,17.0,19.0
16-24,Women,Design,21.0,25.0,29.0,27.0,25.0,24.0
16-24,Women,Photography,30.0,36.0,36.0,36.0,32.0,27.0
16-24,Women,Installation art,12.0,13.0,13.0,12.0,10.0,11.0
16-24,Women,Video art,13.0,15.0,16.0,16.0,14.0,14.0
16-24,Women,Performance,7.0,13.0,11.0,12.0,12.0,8.0
16-24,Women,Other,3.0,4.0,6.0,5.0,5.0,6.0
16-24,Women,None,48.0,45.0,39.0,39.0,38.0,44.0
25-34,Men,Paintings,25.0,25.0,25.0,22.0,24.0,24.0
25-34,Men,Sculptures,12.0,14.0,14.0,19.0,17.0,17.0
25-34,Men,Craft work,8.0,9.0,10.0,11.0,9.0,10.0
25-34,Men,Design,12.0,15.0,16.0,15.0,14.0,14.0
25-34,Men,Photography,15.0,21.0,19.0,20.0,17.0,20.0
25-34,Men,Installation art,6.0,9.0,7.0,11.0,9.0,10.0
25-34,Men,Video art,6.0,10.0,11.0,12.0,8.0,10.0
25-34,Men,Performance,4.0,6.0,5.0,8.0,3.0,3.0
25-34,Men,Other,3.0,4.0,4.0,5.0,4.0,5.0
