Name,Counts,lat,lon,address,country,new_name,Kommune,Region,ZipCode,GeoCode,Url
Køn,6,56.15720795,10.211392604049609,"KØN, Domkirkepladsen, Latinerkvarteret, Midtbyen, Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark",Danmark,KØN,Århus,Region Midtjylland,8000.0,0,http://www.koengmuseum.dk/
M/S Museet For Søfart,6,56.0389368,12.616268412598306,"M/S Museet for Søfart, Ny Kronborgvej, Helsingør, Helsingør Kommune, Region Hovedstaden, 3000, Danmark",Danmark,M/S Museet for Søfart,Helsingør,Region Hovedstaden,3000.0,0,http://www.mfs.dk
Ribe Kunstmuseum,6,55.32922775,8.767589379743901,"Ribe Kunstmuseum, Sanct Nicolaj Gade, Ribe, Esbjerg Kommune, Region Syddanmark, 6760, Danmark",Danmark,Ribe Kunstmuseum,Esbjerg,Region Syddanmark,6760.0,0,http://www.ribekunstmuseum.dk
Heart Herning Museum Of Contemporary Art,6,56.13179935,9.021837172764176,"HEART, Birk Centerpark, Birk, Herning Kommune, Region Midtjylland, 7400, Danmark",Danmark,HEART,Herning,Region Midtjylland,7400.0,0,http://www.heartmus.dk
Faaborg Museum,6,55.0944673,10.247718460714283,"Faaborg Museum for Fynsk Malerkunst, Grønnegade, Faaborg, Faaborg-Midtfyn Kommune, Region Syddanmark, 5600, Danmark",Danmark,Faaborg Museum for Fynsk Malerkunst,Faaborg-Midtfyn,Region Syddanmark,5600.0,0,http://www.faaborgmuseum.dk
Læsø Museum,6,57.2395068,10.990678423169909,"Læsø Saltsyderi, Hornfiskrønvej, Byrum, Læsø Kommune, Region Nordjylland, Danmark",Danmark,Læsø Saltsyderi,Læsø,Region Nordjylland,9940.0,0,http://www.laesoe-museum.dk/
Esbjerg Kunstmuseum,6,55.4642399,8.4505741,"Esbjerg Kunstmuseum, Havnegade, Rørkjær, Esbjerg, Esbjerg Kommune, Region Syddanmark, 6700, Danmark",Danmark,Esbjerg Kunstmuseum,Esbjerg,Region Syddanmark,6700.0,0,http://www.eskum.dk
Rudersdal Museer,6,55.815997,12.539599,"5, Biblioteksalleen, Nærum, Rudersdal Kommune, Region Hovedstaden, 2850, Danmark",Danmark,,Rudersdal,Region Hovedstaden,2850.0,0,http://www.rudersdalmuseer.dk
Louisiana Museum Of Modern Art,6,55.96935195,12.54315724993758,"Louisiana Museum of Modern Art, Louisevej, Gammel Humlebæk, Krogerup, Humlebæk, Fredensborg Kommune, Region Hovedstaden, 3050, Danmark",Danmark,Louisiana Museum of Modern Art,Fredensborg,Region Hovedstaden,3050.0,0,http://www.louisiana.dk
Limfjordsmuseet,6,56.96441875,9.240408897831816,"Limfjordsmuseet, Fischersgade, Løgstør, Vesthimmerlands Kommune, Region Nordjylland, 9670, Danmark",Danmark,Limfjordsmuseet,Vesthimmerland,Region Nordjylland,9670.0,0,http://www.limfjordsmuseet.dk
Lemvig Museum,6,56.54957845,8.301815355538409,"Lemvig Museum, Vestergade, Lemvig, Lemvig Kommune, Region Midtjylland, 7620, Danmark",Danmark,Lemvig Museum,Lemvig,Region Midtjylland,7620.0,0,http://www.lemvigmuseum.dk
Det Grønne Museum,6,56.4380894,10.3419651,"Det Grønne Museum, Randersvej, Norddjurs Kommune, Region Midtjylland, 8963, Danmark",Danmark,Det Grønne Museum,Norddjurs,Region Midtjylland,8963.0,0,http://www.gl-estrup.dk
Langelands Museum,6,54.9341834,10.717443142716984,"Langelands museum, Engdraget, Sommerlyst, Rudkøbing, Langeland Kommune, Region Syddanmark, 5900, Danmark",Danmark,Langelands museum,Langeland,Region Syddanmark,5900.0,0,http://www.langelandsmuseum.com/
Designmuseum Danmark,6,55.686374150000006,12.594407743890956,"Designmuseum Danmark, Bredgade, Frederiksstaden, Indre By, København, Københavns Kommune, Region Hovedstaden, 1265, Danmark",Danmark,Designmuseum Danmark,København,Region Hovedstaden,1265.0,0,http://www.designmuseum.dk
Den Hirschsprungske Samling,6,55.6899139,12.57748139097032,"Den Hirschsprungske Samling, Stockholmsgade, Østervold, Indre By, København, Københavns Kommune, Region Hovedstaden, 1307, Danmark",Danmark,Den Hirschsprungske Samling,København,Region Hovedstaden,1307.0,0,http://www.hirschsprung.dk
Sorø Kunstmuseum,6,55.43277915,11.555497655872047,"Sorø Kunstmuseum, Storgade, Sorø, Sorø Kommune, Region Sjælland, 4180, Danmark",Danmark,Sorø Kunstmuseum,Sorø,Region Sjælland,4180.0,0,http://www.sorokunstmuseum.dk
Køs Museum For Kunst I Det Offentlige Rum,6,55.45879105,12.183313546833428,"KØS Museum for kunst i det offentlige rum, Katekismusgade, Gammel Køge By, Køge, Køge Kommune, Region Sjælland, 4600, Danmark",Danmark,KØS Museum for kunst i det offentlige rum,Køge,Region Sjælland,4600.0,0,http://www.koes.dk
Randers Kunstmuseum,6,56.460458,10.040943,"2, Stemannsgade, Strømmen, Randers, Randers Kommune, Region Midtjylland, 8900, Danmark",Danmark,,Randers,Region Midtjylland,8900.0,0,http://www.randerskunstmuseum.dk
Marstal Søfartsmuseum,6,54.854292,10.5211578,"Marstal Søfartsmuseum, Havnegade, Bondebyen, Marstal, Ærø Kommune, Region Syddanmark, 5960, Danmark",Danmark,Marstal Søfartsmuseum,Ærø,Region Syddanmark,5960.0,0,http://www.marmus.dk
Danmarks Tekniske Museum,6,56.0221193,12.562480167427807,"Danmarks Tekniske Museum, Støberivej, Snekkersten, Helsingør Kommune, Region Hovedstaden, 3070, Danmark",Danmark,Danmarks Tekniske Museum,Helsingør,Region Hovedstaden,3070.0,0,http://www.tekniskmuseum.dk
Middelfart Museum,6,55.5062329,9.728231,"Middelfart Museum, Algade, Middelfart, Middelfart Kommune, Region Syddanmark, 5500, Danmark",Danmark,Middelfart Museum,Middelfart,Region Syddanmark,5500.0,0,http://www.middelfart-museum.dk
Glud Museum,6,55.80673765,9.99329620929143,"Glud Museum, Gludvej, Over Glud, Glud, Hedensted Kommune, Region Midtjylland, Danmark",Danmark,Glud Museum,Hedensted,Region Midtjylland,7130.0,0,http://www.gludmuseum.dk/
Give-Egnens Museum,6,55.84787145,9.252100454093611,"Give-Egnens Museum, Donneruplundvej, Give, Vejle Kommune, Region Syddanmark, 7323, Danmark",Danmark,Give-Egnens Museum,Vejle,Region Syddanmark,7323.0,0,http://www.gem.dk
Museum Mors,6,56.794546,8.853335,"9, Dueholmgade, Nykøbing Mors, Morsø Kommune, Region Nordjylland, 7900, Danmark",Danmark,,Morsø,Region Nordjylland,7900.0,0,https://museummors.dk/
Gammel Estrup Herregårdsmuseet,6,56.4379443,10.3444651,"Gammel Estrup Herregårdsmuseet Kiosk, Randersvej, Norddjurs Kommune, Region Midtjylland, 8963, Danmark",Danmark,Gammel Estrup Herregårdsmuseet Kiosk,Norddjurs,Region Midtjylland,8963.0,0,https://gammelestrup.dk/
Museum Vestfyn,6,55.270537,9.890438,"19, Nordre Havnevej, Assens, Assens Kommune, Region Syddanmark, 5610, Danmark",Danmark,,Assens,Region Syddanmark,5610.0,0,https://museumvestfyn.dk/en/
Greve Museum,6,55.59093355,12.252255866374846,"Greve Museum, Bækgårdsvej, Greve, Greve Kommune, Region Sjælland, 2690, Danmark",Danmark,Greve Museum,Greve,Region Sjælland,2690.0,0,http://www.grevemuseum.dk
Furesø Museer,6,55.81566055131924,12.403042474041046,"Stavnsholtvej, Stavnsholt, Furesø Kommune, Region Hovedstaden, 3520, Danmark",Danmark,Stavnsholtvej,Furesø,Region Hovedstaden,3520.0,0,http://www.furesoemuseer.dk
Fuglsang Kunstmuseum,6,54.7238612,11.79959275154808,"Fuglsang Kunstmuseum, Nystedvej, Guldborgsund Kommune, Region Sjælland, 4891, Danmark",Danmark,Fuglsang Kunstmuseum,Guldborgsund,Region Sjælland,4891.0,0,http://www.fuglsangkunstmuseum.dk
Museum Østjylland Randers,6,56.4604221,10.0407626,"Museum Østjylland, Stemannsgade, Strømmen, Randers, Randers Kommune, Region Midtjylland, 8900, Danmark",Danmark,Museum Østjylland,Randers,Region Midtjylland,8900.0,0,https://www.museumoj.dk/da/besoeg-os/kulturhuset-i-randers/
Museet På Sønderskov,6,55.4517544,9.037766943679395,"Museet på Sønderskov, Sønderskovgårdvej, Vejen Kommune, Region Syddanmark, 6650, Danmark",Danmark,Museet på Sønderskov,Vejen,Region Syddanmark,6650.0,0,http://www.sonderskov.dk
Museet For Samtidskunst,6,55.64202105,12.081697711935172,"Museet for Samtidskunst, Domkirkepladsen, Sankt Agnes Huse, Roskilde, Roskilde Kommune, Region Sjælland, 4000, Danmark",Danmark,Museet for Samtidskunst,Roskilde,Region Sjælland,4000.0,0,http://www.samtidskunst.dk
Museerne I Fredericia,6,55.564843,9.744823,"10, Jernbanegade, Solbakken, Fredericia, Fredericia Kommune, Region Syddanmark, 7000, Danmark",Danmark,,Fredericia,Region Syddanmark,7000.0,0,https://www.fredericiahistorie.dk/
Moesgård Museum,6,56.086355,10.2225218,"Moesgaard Museum, Moesgård Allé, Aarhus, Aarhus Kommune, Region Midtjylland, 8330, Danmark",Danmark,Moesgaard Museum,Århus,Region Midtjylland,8330.0,0,http://www.moesmus.dk
Nivaagaards Malerisamling,6,55.92715175,12.511002047354664,"Nivaagaards Malerisamling, Gammel Strandvej, Strandhuse, Nivå, Fredensborg Kommune, Region Hovedstaden, 2990, Danmark",Danmark,Nivaagaards Malerisamling,Fredensborg,Region Hovedstaden,2990.0,0,http://www.nivaagaard.dk
Ny Carlsberg Glyptotek,6,55.6725342,12.57176570891363,"Ny Carlsberg Glyptotek, Stoltenbergsgade, Postbyen, Kødbyen, København, Københavns Kommune, Region Hovedstaden, 1576, Danmark",Danmark,Ny Carlsberg Glyptotek,København,Region Hovedstaden,1576.0,0,https://glyptoteket.dk/
Dansk Jødisk Museum,6,55.6743653,12.5823025,"Dansk Jødisk Museum, Proviantpassagen, Gammelholm, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1219, Danmark",Danmark,Dansk Jødisk Museum,København,Region Hovedstaden,1219.0,0,http://jewmus.dk
Den Gamle By Danmarks Købstadsmuseum,6,56.157963,10.19353,"2, Viborgvej, Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark",Danmark,,Århus,Region Midtjylland,8000.0,0,https://www.dengamleby.dk/
Statens Museum For Kunst,6,55.6886945,12.57837237249,"Statens Museum for Kunst, Sølvgade, Østervold, Indre By, København, Københavns Kommune, Region Hovedstaden, 1307, Danmark",Danmark,Statens Museum for Kunst,København,Region Hovedstaden,1307.0,0,http://www.smk.dk
Trapholt,6,55.4994555,9.53218255341881,"Trapholt Museet, Æblehaven, Strandhuse, Nørre Bjert, Kolding Kommune, Region Syddanmark, Danmark",Danmark,Trapholt Museet,Kolding,Region Syddanmark,6000.0,0,http://www.trapholt.dk
Bornholms Kunstmuseum,6,55.2234574,14.893797610949036,"Bornholms Kunstmuseum, Otto Bruuns Plads, Rø, Bornholms Regionskommune, Region Hovedstaden, Danmark",Danmark,Bornholms Kunstmuseum,Bornholm,Region Hovedstaden,3760.0,0,http://www.bornholms-kunstmuseum.dk
Vejlemuseerne,6,55.7140583,9.5308769,"Spinderihallerne Vejlemuseerne, Valdemarsgade, Uhrhøj, Vejle, Vejle Kommune, Region Syddanmark, 7100, Danmark",Danmark,Spinderihallerne Vejlemuseerne,Vejle,Region Syddanmark,7100.0,0,https://www.vejlemuseerne.dk/
